                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  3.204,                 2.2725,                 1.9398,                0.45562,                 0.3499,                0.35127,                0.20574,                  3.029,                 2.1458,                 1.8881,               0.006568,               0.006568,               0.006568
                     54,                 3.2014,                 2.2656,                  1.931,                0.44771,                0.35167,                0.35148,                0.20561,                 3.0246,                 2.1425,                 1.8864,               0.006502,               0.006502,               0.006502
                     55,                 3.1978,                 2.2647,                 1.9351,                0.44789,                0.35538,                 0.3518,                0.20476,                  3.024,                 2.1485,                 1.8864,               0.006436,               0.006436,               0.006436
                     56,                 3.1885,                  2.259,                 1.9317,                0.45285,                0.35365,                0.35326,                0.20644,                   3.02,                 2.1386,                 1.8841,                0.00637,                0.00637,                0.00637
                     57,                 3.1842,                  2.246,                 1.9293,                0.45029,                0.35262,                0.35029,                0.20555,                 3.0182,                  2.139,                 1.8838,               0.006304,               0.006304,               0.006304
                     58,                  3.176,                 2.2433,                 1.9275,                0.44644,                0.35726,                0.35392,                0.20774,                 3.0124,                 2.1336,                  1.882,               0.006238,               0.006238,               0.006238
                     59,                 3.1715,                 2.2364,                 1.9289,                0.45496,                0.34854,                0.35367,                0.20768,                 3.0086,                 2.1264,                 1.8801,               0.006172,               0.006172,               0.006172
                     60,                 3.1657,                 2.2174,                 1.9238,                0.44997,                0.35944,                0.35586,                0.20899,                 3.0039,                 2.1239,                 1.8798,               0.006106,               0.006106,               0.006106
                     61,                 3.1528,                 2.2151,                 1.9243,                0.45642,                0.35962,                0.35702,                0.20997,                 2.9981,                 2.1165,                 1.8788,                0.00604,                0.00604,                0.00604
                     62,                 3.1597,                 2.2161,                 1.9192,                0.45857,                0.35532,                0.35665,                0.20865,                 2.9995,                  2.112,                 1.8789,               0.005974,               0.005974,               0.005974
                     63,                 3.1733,                 2.2253,                 1.9245,                0.45144,                0.35809,                 0.3546,                0.20856,                 2.9948,                 2.1132,                 1.8758,               0.005908,               0.005908,               0.005908
                     64,                 3.1444,                 2.2072,                 1.9159,                0.45173,                0.36158,                0.35844,                0.21077,                 2.9922,                 2.1093,                 1.8771,               0.005842,               0.005842,               0.005842
                     65,                 3.1499,                 2.2049,                 1.9285,                0.44809,                0.36342,                0.35908,                0.21102,                  2.989,                 2.0998,                 1.8761,               0.005776,               0.005776,               0.005776
                     66,                  3.149,                 2.2099,                 1.9185,                0.46094,                0.36167,                0.36106,                  0.212,                 2.9845,                 2.1008,                 1.8745,                0.00571,                0.00571,                0.00571
                     67,                  3.136,                 2.1875,                 1.9175,                 0.4597,                0.35976,                0.35969,                0.21143,                 2.9851,                 2.0986,                 1.8755,               0.005644,               0.005644,               0.005644
                     68,                 3.1208,                 2.1799,                 1.9169,                0.46877,                0.35854,                0.36249,                0.21293,                 2.9822,                  2.091,                  1.874,               0.005578,               0.005578,               0.005578
                     69,                 3.1232,                  2.183,                 1.9159,                0.46043,                 0.3658,                  0.365,                0.21549,                 2.9766,                 2.0871,                 1.8726,               0.005512,               0.005512,               0.005512
                     70,                 3.1337,                 2.1842,                  1.917,                0.45889,                 0.3648,                0.36426,                0.21469,                 2.9722,                 2.0871,                 1.8717,               0.005446,               0.005446,               0.005446
                     71,                 3.1325,                 2.1781,                 1.9215,                0.46669,                0.36627,                 0.3665,                0.21564,                 2.9662,                 2.0777,                 1.8703,                0.00538,                0.00538,                0.00538
                     72,                 3.1267,                 2.1688,                 1.9128,                0.45785,                0.36566,                0.36701,                0.21523,                 2.9702,                 2.0751,                   1.87,               0.005314,               0.005314,               0.005314
                     73,                 3.1096,                 2.1621,                 1.9138,                 0.4575,                0.37073,                0.36576,                0.21481,                  2.969,                 2.0759,                 1.8703,               0.005248,               0.005248,               0.005248
                     74,                 3.1116,                 2.1507,                 1.9097,                0.47032,                0.36795,                0.36762,                 0.2158,                 2.9657,                 2.0729,                 1.8705,               0.005182,               0.005182,               0.005182
                     75,                 3.1075,                 2.1533,                 1.9127,                0.46412,                0.36788,                0.36861,                0.21698,                 2.9631,                 2.0698,                 1.8696,               0.005116,               0.005116,               0.005116
                     76,                 3.0995,                 2.1454,                 1.9088,                0.46341,                0.37431,                0.36882,                0.21622,                 2.9639,                 2.0656,                 1.8705,                0.00505,                0.00505,                0.00505
                     77,                 3.0924,                   2.14,                 1.9105,                0.46851,                0.36876,                0.37109,                0.21805,                 2.9601,                 2.0603,                 1.8698,               0.004984,               0.004984,               0.004984
                     78,                 3.0948,                 2.1305,                 1.9085,                 0.4756,                0.36765,                0.37028,                 0.2172,                 2.9573,                 2.0623,                 1.8702,               0.004918,               0.004918,               0.004918
                     79,                 3.0975,                 2.1334,                 1.9085,                0.47571,                0.36873,                 0.3704,                0.21867,                 2.9539,                 2.0613,                 1.8681,               0.004852,               0.004852,               0.004852
                     80,                  3.086,                 2.1264,                 1.9051,                  0.474,                0.37144,                0.37127,                0.21912,                 2.9515,                 2.0555,                 1.8673,               0.004786,               0.004786,               0.004786
                     81,                 3.0922,                 2.1233,                 1.9046,                 0.4742,                0.36828,                 0.3711,                0.21932,                 2.9445,                 2.0551,                 1.8651,                0.00472,                0.00472,                0.00472
                     82,                 3.0765,                 2.1068,                 1.9024,                0.47446,                0.36991,                0.37134,                0.21922,                 2.9448,                 2.0514,                 1.8657,               0.004654,               0.004654,               0.004654
                     83,                 3.0776,                 2.1229,                 1.9039,                0.48111,                0.36641,                0.37379,                0.22061,                 2.9445,                 2.0511,                 1.8661,               0.004588,               0.004588,               0.004588
                     84,                 3.0728,                 2.1067,                 1.8993,                0.47911,                0.36543,                0.37226,                0.21992,                  2.942,                 2.0471,                 1.8656,               0.004522,               0.004522,               0.004522
                     85,                 3.0676,                  2.093,                 1.8955,                0.48285,                0.36854,                0.37483,                0.22085,                 2.9407,                 2.0435,                  1.865,               0.004456,               0.004456,               0.004456
                     86,                 3.0764,                 2.1082,                  1.902,                0.47585,                0.36914,                0.37238,                0.21986,                 2.9393,                 2.0478,                 1.8647,                0.00439,                0.00439,                0.00439
                     87,                 3.0562,                 2.0915,                 1.8995,                0.47827,                0.36881,                0.37294,                0.21979,                 2.9376,                  2.044,                 1.8643,               0.004324,               0.004324,               0.004324
                     88,                 3.0673,                 2.0902,                 1.9008,                0.47246,                0.37536,                0.37324,                0.22016,                 2.9366,                 2.0445,                 1.8641,               0.004258,               0.004258,               0.004258
                     89,                 3.0441,                 2.0774,                 1.8956,                  0.477,                0.37209,                0.37484,                0.22162,                 2.9372,                 2.0414,                 1.8637,               0.004192,               0.004192,               0.004192
                     90,                 3.0538,                 2.0882,                 1.8984,                0.48242,                0.37142,                0.37491,                0.22113,                  2.939,                 2.0438,                  1.864,               0.004126,               0.004126,               0.004126
                     91,                 3.0502,                 2.0782,                  1.894,                0.48382,                0.36964,                0.37531,                0.22117,                 2.9361,                 2.0388,                 1.8629,                0.00406,                0.00406,                0.00406
                     92,                 3.0598,                 2.0746,                 1.8986,                0.48902,                0.37108,                0.37818,                0.22227,                 2.9319,                 2.0343,                 1.8622,               0.003994,               0.003994,               0.003994
                     93,                 3.0351,                 2.0587,                 1.8919,                0.48327,                0.37046,                  0.377,                0.22183,                 2.9329,                 2.0341,                 1.8627,               0.003928,               0.003928,               0.003928
                     94,                  3.035,                  2.057,                 1.8944,                0.48719,                0.36743,                0.37533,                0.22085,                 2.9306,                  2.035,                 1.8615,               0.003862,               0.003862,               0.003862
                     95,                 3.0376,                 2.0554,                 1.8919,                0.48057,                0.37188,                0.37583,                0.22157,                 2.9291,                 2.0334,                 1.8609,               0.003796,               0.003796,               0.003796
                     96,                 3.0444,                 2.0607,                 1.8904,                0.49608,                0.36655,                0.37763,                0.22311,                 2.9256,                 2.0303,                 1.8607,                0.00373,                0.00373,                0.00373
                     97,                 3.0268,                 2.0498,                 1.8948,                0.48618,                0.37036,                0.37675,                0.22292,                 2.9235,                 2.0316,                 1.8606,               0.003664,               0.003664,               0.003664
                     98,                 3.0311,                 2.0494,                 1.8905,                0.48322,                0.37271,                0.37679,                0.22264,                 2.9223,                 2.0273,                   1.86,               0.003598,               0.003598,               0.003598
                     99,                 3.0302,                 2.0436,                 1.8919,                0.48752,                 0.3684,                0.37744,                0.22347,                 2.9214,                 2.0251,                 1.8595,               0.003532,               0.003532,               0.003532
                    100,                 3.0226,                 2.0371,                 1.8873,                0.48274,                0.37181,                0.37802,                0.22319,                 2.9223,                  2.024,                   1.86,               0.003466,               0.003466,               0.003466
                    101,                 3.0152,                 2.0264,                 1.8853,                0.48377,                0.37367,                0.37944,                0.22461,                 2.9217,                 2.0215,                 1.8604,                 0.0034,                 0.0034,                 0.0034
                    102,                 3.0208,                 2.0244,                 1.8856,                0.48803,                0.37422,                0.37996,                 0.2246,                 2.9216,                 2.0175,                 1.8602,               0.003334,               0.003334,               0.003334
                    103,                 3.0122,                 2.0143,                 1.8838,                0.49388,                0.37218,                0.38069,                0.22491,                 2.9184,                 2.0168,                 1.8595,               0.003268,               0.003268,               0.003268
                    104,                 3.0079,                 2.0282,                 1.8838,                0.49123,                0.37121,                0.38004,                0.22483,                 2.9156,                 2.0181,                 1.8592,               0.003202,               0.003202,               0.003202
                    105,                  2.999,                 2.0126,                 1.8872,                0.48548,                0.37452,                0.37993,                0.22448,                 2.9156,                 2.0175,                  1.859,               0.003136,               0.003136,               0.003136
                    106,                 3.0125,                  2.022,                 1.8886,                0.48454,                0.37793,                0.38028,                0.22449,                 2.9155,                 2.0162,                 1.8586,                0.00307,                0.00307,                0.00307
                    107,                 2.9947,                 2.0037,                 1.8827,                0.48381,                0.37812,                0.38172,                0.22526,                 2.9136,                 2.0153,                  1.858,               0.003004,               0.003004,               0.003004
                    108,                  3.016,                 2.0139,                 1.8831,                0.48649,                0.37858,                0.38237,                0.22611,                 2.9117,                 2.0139,                 1.8579,               0.002938,               0.002938,               0.002938
                    109,                 2.9868,                 1.9941,                 1.8792,                 0.4927,                0.37782,                0.38369,                0.22656,                 2.9125,                 2.0111,                 1.8578,               0.002872,               0.002872,               0.002872
                    110,                 2.9911,                 1.9993,                  1.883,                0.49573,                0.37731,                0.38424,                0.22691,                 2.9115,                 2.0096,                 1.8576,               0.002806,               0.002806,               0.002806
                    111,                 2.9917,                 1.9956,                 1.8823,                0.49042,                0.37767,                0.38389,                0.22702,                 2.9116,                 2.0095,                 1.8573,                0.00274,                0.00274,                0.00274
                    112,                 2.9772,                 1.9882,                  1.878,                0.49193,                0.37528,                0.38413,                0.22762,                 2.9108,                 2.0084,                 1.8572,               0.002674,               0.002674,               0.002674
                    113,                 2.9854,                 1.9872,                  1.881,                0.49071,                  0.378,                0.38446,                0.22783,                 2.9085,                 2.0067,                 1.8568,               0.002608,               0.002608,               0.002608
                    114,                 2.9763,                 1.9789,                 1.8786,                0.49798,                0.37473,                0.38435,                0.22786,                 2.9052,                 2.0054,                  1.856,               0.002542,               0.002542,               0.002542
                    115,                 2.9673,                 1.9729,                 1.8801,                0.49719,                0.37402,                0.38422,                0.22693,                 2.9075,                 2.0057,                 1.8561,               0.002476,               0.002476,               0.002476
                    116,                  2.961,                 1.9736,                 1.8781,                0.48882,                0.37738,                0.38357,                0.22648,                 2.9075,                 2.0053,                 1.8561,                0.00241,                0.00241,                0.00241
                    117,                 2.9687,                 1.9664,                 1.8779,                0.49797,                0.37403,                0.38389,                0.22693,                 2.9065,                 2.0044,                  1.856,               0.002344,               0.002344,               0.002344
                    118,                 2.9702,                 1.9659,                 1.8738,                0.48941,                0.37658,                0.38381,                0.22706,                  2.907,                 2.0032,                 1.8562,               0.002278,               0.002278,               0.002278
                    119,                 2.9692,                 1.9639,                 1.8761,                0.49274,                0.37622,                0.38412,                0.22702,                 2.9076,                 2.0027,                 1.8566,               0.002212,               0.002212,               0.002212
                    120,                 2.9628,                 1.9587,                 1.8722,                0.49603,                0.37659,                 0.3849,                0.22752,                 2.9062,                 2.0013,                 1.8559,               0.002146,               0.002146,               0.002146
                    121,                 2.9602,                 1.9489,                 1.8681,                 0.4934,                0.37908,                0.38565,                0.22796,                  2.905,                 2.0004,                 1.8558,                0.00208,                0.00208,                0.00208
                    122,                 2.9606,                 1.9418,                 1.8714,                0.49492,                0.37954,                0.38555,                 0.2279,                 2.9061,                 1.9993,                  1.856,               0.002014,               0.002014,               0.002014
                    123,                 2.9552,                 1.9465,                 1.8706,                0.49057,                0.38151,                0.38547,                0.22813,                  2.905,                 1.9981,                 1.8557,               0.001948,               0.001948,               0.001948
                    124,                 2.9457,                 1.9391,                 1.8698,                 0.4898,                0.38208,                0.38608,                0.22822,                 2.9048,                 1.9984,                 1.8556,               0.001882,               0.001882,               0.001882
                    125,                 2.9407,                 1.9373,                  1.867,                0.49106,                0.38106,                0.38616,                0.22833,                 2.9058,                 1.9974,                 1.8562,               0.001816,               0.001816,               0.001816
                    126,                 2.9359,                 1.9282,                 1.8648,                 0.4914,                0.38117,                0.38654,                0.22866,                 2.9049,                 1.9975,                 1.8559,                0.00175,                0.00175,                0.00175
                    127,                 2.9441,                 1.9359,                 1.8638,                0.49279,                0.38112,                0.38653,                0.22886,                 2.9039,                 1.9972,                  1.856,               0.001684,               0.001684,               0.001684
                    128,                 2.9399,                 1.9209,                 1.8654,                0.49144,                 0.3805,                0.38638,                0.22867,                 2.9054,                 1.9966,                 1.8561,               0.001618,               0.001618,               0.001618
                    129,                 2.9284,                 1.9263,                 1.8706,                0.48826,                0.38126,                0.38652,                 0.2287,                 2.9051,                 1.9961,                 1.8561,               0.001552,               0.001552,               0.001552
                    130,                 2.9406,                 1.9249,                 1.8682,                0.49151,                0.37946,                 0.3868,                0.22883,                 2.9049,                 1.9961,                 1.8562,               0.001486,               0.001486,               0.001486
                    131,                 2.9265,                 1.9139,                 1.8655,                0.48811,                0.38371,                 0.3868,                0.22896,                 2.9054,                 1.9953,                 1.8562,                0.00142,                0.00142,                0.00142
                    132,                 2.9181,                 1.9125,                 1.8619,                 0.4867,                0.38519,                0.38746,                0.22937,                 2.9048,                 1.9941,                 1.8563,               0.001354,               0.001354,               0.001354
                    133,                 2.9413,                 1.9226,                 1.8648,                0.49372,                0.37994,                0.38718,                 0.2293,                 2.9043,                 1.9942,                 1.8561,               0.001288,               0.001288,               0.001288
                    134,                  2.931,                 1.9082,                  1.865,                0.49093,                0.38091,                0.38677,                0.22902,                 2.9042,                 1.9941,                  1.856,               0.001222,               0.001222,               0.001222
                    135,                 2.9204,                  1.904,                 1.8615,                0.48928,                0.38299,                0.38688,                0.22906,                 2.9045,                 1.9937,                 1.8561,               0.001156,               0.001156,               0.001156
                    136,                 2.9116,                 1.8937,                 1.8618,                0.48915,                0.38329,                0.38693,                0.22942,                 2.9042,                 1.9942,                  1.856,                0.00109,                0.00109,                0.00109
                    137,                 2.9014,                 1.8895,                 1.8607,                0.48625,                0.38321,                0.38683,                0.22908,                 2.9045,                 1.9947,                 1.8562,               0.001024,               0.001024,               0.001024
                    138,                  2.918,                 1.8946,                 1.8609,                0.48585,                0.38279,                 0.3867,                0.22888,                 2.9043,                 1.9946,                 1.8561,               0.000958,               0.000958,               0.000958
                    139,                 2.8973,                 1.8819,                 1.8587,                0.48556,                0.38223,                0.38701,                 0.2292,                 2.9048,                 1.9944,                 1.8562,               0.000892,               0.000892,               0.000892
                    140,                  2.909,                 1.8919,                 1.8591,                0.48365,                0.38237,                0.38672,                 0.2291,                  2.905,                 1.9942,                 1.8561,               0.000826,               0.000826,               0.000826
                    141,                 2.9138,                 1.8878,                 1.8592,                0.48743,                0.38022,                0.38613,                0.22891,                 2.9037,                 1.9946,                  1.856,                0.00076,                0.00076,                0.00076
                    142,                 2.9129,                 1.8859,                 1.8578,                0.48849,                0.37934,                0.38627,                 0.2288,                 2.9042,                 1.9946,                 1.8562,               0.000694,               0.000694,               0.000694
                    143,                 2.8991,                   1.88,                 1.8628,                0.48817,                0.37899,                 0.3869,                0.22913,                 2.9045,                 1.9934,                 1.8563,               0.000628,               0.000628,               0.000628
                    144,                 2.9014,                 1.8743,                 1.8576,                0.48985,                0.37861,                0.38708,                0.22935,                 2.9048,                 1.9926,                 1.8563,               0.000562,               0.000562,               0.000562
                    145,                 2.8891,                 1.8678,                 1.8581,                0.48662,                0.38039,                 0.3869,                0.22912,                  2.904,                 1.9928,                 1.8562,               0.000496,               0.000496,               0.000496
                    146,                 2.8966,                 1.8692,                 1.8531,                0.48633,                0.37983,                0.38693,                0.22921,                 2.9042,                 1.9938,                  1.856,                0.00043,                0.00043,                0.00043
                    147,                 2.8918,                 1.8675,                 1.8538,                 0.4884,                0.37981,                0.38701,                0.22919,                 2.9042,                 1.9933,                  1.856,               0.000364,               0.000364,               0.000364
                    148,                 2.8942,                 1.8696,                 1.8583,                0.48688,                0.38059,                0.38702,                0.22926,                 2.9034,                 1.9937,                 1.8559,               0.000298,               0.000298,               0.000298
                    149,                 2.8855,                 1.8595,                 1.8533,                0.49029,                0.37856,                0.38729,                0.22939,                 2.9031,                 1.9946,                 1.8558,               0.000232,               0.000232,               0.000232
                    150,                 2.8885,                 1.8604,                 1.8569,                0.48751,                0.37981,                0.38715,                0.22926,                 2.9035,                  1.994,                  1.856,               0.000166,               0.000166,               0.000166
