                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 9.7947,                 11.996,                 7.1611,                0.31435,                0.01739,                0.00729,                0.00214,                 7.1049,                 6.6747,                 4.1662,               0.070037,              0.0033292,              0.0033292
                      2,                 6.0976,                 5.7764,                 3.2623,                0.05436,                0.14221,                0.05404,                0.02152,                 5.3889,                 4.6692,                 2.6473,               0.039993,              0.0066186,              0.0066186
                      3,                 5.1222,                 4.7084,                 2.5997,                0.11927,                0.13192,                0.08399,                0.03723,                  4.635,                 3.9845,                 2.3859,              0.0099051,              0.0098639,              0.0098639
                      4,                 4.6755,                 4.2171,                 2.4085,                0.16116,                0.15028,                0.11163,                0.05328,                 4.2929,                 3.6306,                 2.2624,               0.009802,               0.009802,               0.009802
                      5,                 4.3992,                 3.8775,                 2.3033,                 0.2166,                0.17581,                0.13734,                0.06772,                 4.0707,                 3.2906,                 2.1792,               0.009736,               0.009736,               0.009736
                      6,                  4.238,                  3.663,                 2.2467,                 0.1991,                  0.172,                0.14472,                0.07519,                 4.0181,                 3.2417,                 2.1552,                0.00967,                0.00967,                0.00967
                      7,                 4.0893,                 3.4811,                 2.2007,                0.25561,                0.20609,                0.16939,                 0.0892,                 3.7808,                 3.0781,                 2.1017,               0.009604,               0.009604,               0.009604
                      8,                 4.0021,                 3.3763,                 2.1733,                 0.2706,                0.22073,                0.18901,                0.09978,                 3.7068,                 2.9432,                 2.0732,               0.009538,               0.009538,               0.009538
                      9,                  3.934,                  3.266,                 2.1432,                0.28133,                0.22814,                 0.1986,                0.10666,                 3.6348,                 2.9116,                 2.0549,               0.009472,               0.009472,               0.009472
                     10,                 3.8704,                 3.1705,                 2.1267,                0.30827,                0.24177,                0.21211,                0.11326,                 3.5938,                 2.7894,                 2.0412,               0.009406,               0.009406,               0.009406
                     11,                 3.8067,                 3.0875,                 2.1058,                0.31146,                0.24204,                0.21449,                0.11572,                 3.5753,                 2.7582,                 2.0276,                0.00934,                0.00934,                0.00934
                     12,                 3.7672,                 3.0525,                 2.0976,                0.32322,                0.24521,                0.22851,                0.12286,                  3.528,                 2.7111,                 2.0284,               0.009274,               0.009274,               0.009274
                     13,                 3.7313,                 2.9803,                 2.0881,                0.31684,                0.25522,                0.22822,                0.12495,                 3.4701,                 2.6747,                 2.0114,               0.009208,               0.009208,               0.009208
                     14,                  3.693,                 2.9251,                 2.0694,                0.34615,                0.26482,                0.24699,                0.13551,                 3.4546,                 2.5974,                 1.9955,               0.009142,               0.009142,               0.009142
                     15,                 3.6517,                 2.8594,                  2.057,                0.34779,                0.27597,                0.25386,                0.14009,                 3.4029,                 2.5688,                 1.9874,               0.009076,               0.009076,               0.009076
                     16,                 3.6332,                 2.8307,                 2.0498,                 0.3576,                0.27495,                0.26081,                0.14314,                 3.3994,                 2.5356,                  1.984,                0.00901,                0.00901,                0.00901
                     17,                 3.6037,                 2.8014,                 2.0431,                0.36853,                0.28412,                0.26812,                 0.1483,                 3.3523,                 2.5141,                 1.9725,               0.008944,               0.008944,               0.008944
                     18,                 3.5731,                 2.7587,                 2.0412,                0.36638,                0.28027,                0.27049,                 0.1501,                 3.3435,                 2.5078,                 1.9709,               0.008878,               0.008878,               0.008878
                     19,                 3.5532,                 2.7367,                 2.0366,                0.37499,                0.29127,                  0.275,                0.15361,                 3.3268,                 2.4782,                 1.9644,               0.008812,               0.008812,               0.008812
                     20,                 3.5333,                 2.7062,                 2.0225,                 0.3741,                 0.2961,                0.27464,                0.15425,                 3.3178,                  2.451,                 1.9609,               0.008746,               0.008746,               0.008746
                     21,                 3.5155,                 2.6978,                 2.0235,                0.38885,                0.29744,                0.28241,                0.15868,                  3.277,                 2.4371,                 1.9524,                0.00868,                0.00868,                0.00868
                     22,                 3.4971,                 2.6494,                 2.0146,                0.39503,                0.29242,                0.28201,                0.15756,                 3.2892,                 2.4257,                 1.9529,               0.008614,               0.008614,               0.008614
                     23,                 3.4934,                 2.6575,                 2.0153,                0.38419,                0.30463,                0.29161,                0.16251,                 3.2578,                 2.3992,                 1.9457,               0.008548,               0.008548,               0.008548
                     24,                 3.4489,                 2.6074,                 2.0057,                0.38533,                0.30146,                0.28751,                0.16318,                 3.2434,                 2.4049,                 1.9429,               0.008482,               0.008482,               0.008482
                     25,                 3.4431,                 2.5897,                 2.0057,                0.38696,                0.30734,                0.29228,                0.16574,                 3.2288,                 2.3831,                  1.939,               0.008416,               0.008416,               0.008416
                     26,                  3.433,                  2.578,                 1.9992,                0.39288,                0.31008,                 0.2963,                0.16742,                 3.2311,                 2.3726,                 1.9356,                0.00835,                0.00835,                0.00835
                     27,                 3.4093,                 2.5498,                 1.9976,                0.39535,                0.30981,                0.30356,                0.17243,                 3.1989,                 2.3437,                 1.9283,               0.008284,               0.008284,               0.008284
                     28,                 3.3935,                 2.5307,                 1.9876,                0.39394,                0.31345,                0.30147,                 0.1723,                 3.1982,                 2.3345,                 1.9293,               0.008218,               0.008218,               0.008218
                     29,                 3.3972,                 2.5319,                 1.9923,                0.40259,                 0.3103,                0.30181,                0.17217,                 3.2006,                 2.3445,                 1.9293,               0.008152,               0.008152,               0.008152
                     30,                 3.3869,                 2.5014,                 1.9842,                0.41752,                0.31531,                0.31025,                0.17583,                 3.1701,                 2.3032,                 1.9241,               0.008086,               0.008086,               0.008086
                     31,                 3.3863,                 2.5016,                 1.9832,                0.41675,                0.31287,                0.31086,                0.17761,                 3.1634,                 2.3044,                 1.9204,                0.00802,                0.00802,                0.00802
                     32,                 3.3637,                 2.4794,                 1.9737,                0.41149,                0.31693,                0.31149,                0.17752,                 3.1677,                 2.2881,                 1.9216,               0.007954,               0.007954,               0.007954
                     33,                 3.3584,                 2.4677,                 1.9732,                0.40795,                0.32139,                0.31251,                0.17773,                 3.1667,                 2.2936,                 1.9222,               0.007888,               0.007888,               0.007888
                     34,                 3.3373,                 2.4501,                 1.9744,                0.41493,                 0.3261,                0.31762,                0.18265,                 3.1409,                 2.2717,                 1.9169,               0.007822,               0.007822,               0.007822
                     35,                 3.3201,                 2.4414,                 1.9663,                0.41016,                0.32983,                0.32065,                0.18518,                 3.1401,                  2.269,                 1.9135,               0.007756,               0.007756,               0.007756
                     36,                 3.3107,                 2.4185,                 1.9644,                0.40821,                0.33394,                 0.3199,                0.18283,                 3.1248,                 2.2542,                 1.9102,                0.00769,                0.00769,                0.00769
                     37,                 3.3078,                 2.4185,                 1.9658,                0.42863,                0.32976,                0.32366,                0.18705,                 3.1174,                  2.246,                 1.9096,               0.007624,               0.007624,               0.007624
                     38,                 3.3091,                 2.4047,                 1.9603,                0.42403,                0.33545,                 0.3247,                0.18812,                 3.1148,                 2.2574,                 1.9086,               0.007558,               0.007558,               0.007558
                     39,                 3.3031,                  2.396,                 1.9572,                0.42384,                0.33116,                0.32614,                0.18978,                 3.1007,                 2.2458,                 1.9042,               0.007492,               0.007492,               0.007492
                     40,                 3.2905,                 2.3946,                 1.9609,                0.42867,                0.33314,                0.32947,                0.19206,                 3.0942,                  2.221,                 1.9021,               0.007426,               0.007426,               0.007426
                     41,                 3.2776,                 2.3845,                 1.9578,                0.42823,                0.33677,                0.33201,                0.19178,                 3.0912,                 2.2102,                 1.9034,                0.00736,                0.00736,                0.00736
                     42,                 3.2698,                 2.3692,                 1.9548,                0.43447,                0.33603,                0.33206,                0.19219,                 3.0944,                 2.2244,                 1.9038,               0.007294,               0.007294,               0.007294
                     43,                 3.2642,                 2.3532,                 1.9521,                0.43641,                0.33833,                0.33599,                0.19448,                 3.0828,                 2.2019,                 1.9014,               0.007228,               0.007228,               0.007228
                     44,                 3.2587,                 2.3582,                 1.9534,                0.42622,                 0.3434,                0.33652,                0.19516,                  3.075,                 2.2008,                 1.8987,               0.007162,               0.007162,               0.007162
                     45,                 3.2498,                 2.3413,                 1.9517,                0.42995,                0.34014,                0.33384,                0.19254,                 3.0722,                 2.1964,                 1.8978,               0.007096,               0.007096,               0.007096
                     46,                 3.2584,                 2.3369,                 1.9478,                0.43716,                0.34011,                0.33881,                 0.1969,                 3.0658,                 2.1946,                 1.8946,                0.00703,                0.00703,                0.00703
                     47,                 3.2464,                 2.3289,                 1.9444,                0.43436,                0.34131,                0.33919,                0.19648,                 3.0574,                  2.182,                 1.8918,               0.006964,               0.006964,               0.006964
                     48,                 3.2328,                 2.3232,                 1.9418,                0.42734,                0.34164,                0.33736,                0.19662,                 3.0475,                 2.1745,                  1.892,               0.006898,               0.006898,               0.006898
                     49,                 3.2348,                 2.3141,                 1.9451,                 0.4373,                0.34872,                0.34121,                0.19908,                 3.0358,                 2.1745,                 1.8898,               0.006832,               0.006832,               0.006832
                     50,                 3.2211,                 2.3066,                 1.9422,                0.44163,                0.34171,                0.34016,                 0.1977,                  3.047,                 2.1678,                 1.8915,               0.006766,               0.006766,               0.006766
                     51,                 3.2106,                 2.2954,                 1.9375,                0.44409,                0.34989,                0.34807,                0.20212,                 3.0365,                  2.156,                  1.889,                 0.0067,                 0.0067,                 0.0067
                     52,                 3.2202,                 2.2934,                 1.9385,                0.44131,                 0.3509,                0.34645,                0.20245,                 3.0326,                 2.1517,                 1.8869,               0.006634,               0.006634,               0.006634
