               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.094925,             0.15978,            0.024905,             0.41052,             0.31549,             0.30106,             0.15984,            0.092096,             0.22859,            0.030589,           0.0071125,           0.0071125,           0.0071125
                  37,            0.094967,             0.16031,             0.02481,             0.42544,             0.31714,             0.30647,             0.16214,            0.091967,             0.22888,            0.030393,             0.00703,             0.00703,             0.00703
                  38,            0.094301,             0.15784,            0.024801,             0.41091,             0.32442,             0.30801,             0.16426,            0.091864,             0.22812,             0.03037,           0.0069475,           0.0069475,           0.0069475
                  39,            0.094565,             0.15807,            0.024856,             0.41323,             0.32441,             0.31135,             0.16562,             0.09189,             0.22882,            0.030257,            0.006865,            0.006865,            0.006865
                  40,            0.094343,             0.15769,            0.024514,             0.42048,             0.32448,              0.3097,             0.16482,            0.091855,             0.22879,            0.030345,           0.0067825,           0.0067825,           0.0067825
                  41,            0.094391,             0.15682,            0.024377,             0.40966,             0.32497,             0.31034,              0.1651,            0.091956,             0.22912,            0.030387,              0.0067,              0.0067,              0.0067
                  42,            0.094291,             0.15868,            0.024482,              0.4255,             0.32437,             0.31506,             0.16792,            0.091736,             0.22828,            0.030411,           0.0066175,           0.0066175,           0.0066175
                  43,             0.09416,             0.15893,            0.024445,             0.42671,             0.32309,             0.31299,             0.16673,             0.09173,             0.22824,            0.030197,            0.006535,            0.006535,            0.006535
                  44,            0.094215,             0.15848,            0.024319,             0.43243,             0.32127,             0.31393,             0.16846,            0.091733,             0.22865,            0.030233,           0.0064525,           0.0064525,           0.0064525
                  45,            0.094052,             0.15719,            0.024205,             0.42491,             0.33169,             0.31914,             0.17157,            0.091678,             0.22826,            0.030066,             0.00637,             0.00637,             0.00637
                  46,            0.094075,             0.15769,            0.024076,             0.43045,             0.32805,             0.31644,             0.16916,            0.091687,             0.22845,            0.030238,           0.0062875,           0.0062875,           0.0062875
                  47,            0.094149,             0.15713,            0.024129,             0.41646,             0.33032,             0.31571,              0.1681,            0.091618,             0.22897,             0.03022,            0.006205,            0.006205,            0.006205
                  48,            0.094496,             0.15688,            0.024181,             0.42239,             0.33204,              0.3177,              0.1703,            0.091486,              0.2283,            0.030212,           0.0061225,           0.0061225,           0.0061225
                  49,            0.093828,              0.1578,            0.023954,             0.42581,              0.3225,             0.31137,             0.16699,            0.091527,             0.22827,            0.030265,             0.00604,             0.00604,             0.00604
                  50,            0.093988,             0.15795,             0.02404,             0.41987,             0.33321,             0.31923,             0.17184,            0.091491,             0.22792,            0.030011,           0.0059575,           0.0059575,           0.0059575
                  51,            0.093573,             0.15594,            0.024016,             0.43202,             0.33027,              0.3202,             0.17144,            0.091377,              0.2282,            0.030068,            0.005875,            0.005875,            0.005875
                  52,            0.093881,              0.1567,            0.023918,             0.43084,             0.32509,             0.31649,             0.16991,            0.091454,             0.22857,            0.030106,           0.0057925,           0.0057925,           0.0057925
                  53,            0.093643,             0.15541,            0.023787,             0.42935,             0.33171,             0.32001,             0.17286,            0.091318,             0.22817,            0.030035,             0.00571,             0.00571,             0.00571
                  54,            0.093695,             0.15572,            0.023744,             0.43372,             0.32703,             0.31802,             0.17181,            0.091343,             0.22808,            0.030083,           0.0056275,           0.0056275,           0.0056275
                  55,             0.09363,             0.15721,            0.023775,             0.43746,             0.32882,             0.31972,              0.1718,            0.091265,             0.22824,            0.029993,            0.005545,            0.005545,            0.005545
                  56,            0.093615,             0.15617,            0.023575,              0.4462,             0.32744,              0.3231,             0.17367,            0.091243,             0.22773,            0.029915,           0.0054625,           0.0054625,           0.0054625
                  57,            0.093362,             0.15453,            0.023687,             0.42546,             0.33425,              0.3243,             0.17594,            0.091263,             0.22798,            0.030013,             0.00538,             0.00538,             0.00538
                  58,            0.093355,             0.15588,            0.023377,             0.42296,             0.33911,             0.32287,             0.17475,            0.091196,             0.22745,            0.029983,           0.0052975,           0.0052975,           0.0052975
                  59,             0.09315,             0.15515,            0.023432,             0.42651,             0.33259,             0.32252,             0.17495,            0.091167,             0.22764,            0.029956,            0.005215,            0.005215,            0.005215
                  60,             0.09339,             0.15508,            0.023619,             0.43297,             0.32686,             0.32335,             0.17429,            0.091144,             0.22838,            0.029886,           0.0051325,           0.0051325,           0.0051325
                  61,            0.093056,             0.15455,            0.023451,             0.43765,              0.3307,             0.32369,             0.17488,            0.091154,             0.22822,            0.029944,             0.00505,             0.00505,             0.00505
                  62,            0.093283,             0.15651,            0.023495,             0.43972,             0.33232,             0.32426,             0.17522,            0.091074,             0.22791,            0.029843,           0.0049675,           0.0049675,           0.0049675
                  63,            0.093126,             0.15357,            0.023324,             0.43012,             0.33133,             0.32394,              0.1756,            0.091082,             0.22805,             0.02993,            0.004885,            0.004885,            0.004885
                  64,            0.093209,             0.15474,            0.023324,              0.4371,             0.33252,             0.32369,             0.17538,             0.09106,             0.22798,                0.03,           0.0048025,           0.0048025,           0.0048025
                  65,            0.092919,             0.15489,            0.023421,             0.42165,             0.33937,             0.32348,             0.17582,            0.091092,             0.22857,            0.029961,             0.00472,             0.00472,             0.00472
                  66,             0.09272,             0.15282,            0.023094,             0.42328,              0.3375,             0.32326,             0.17637,            0.091024,              0.2273,            0.030118,           0.0046375,           0.0046375,           0.0046375
                  67,            0.093272,             0.15444,            0.023129,              0.4348,             0.33764,             0.32593,             0.17716,            0.091002,             0.22774,            0.029923,            0.004555,            0.004555,            0.004555
                  68,            0.093123,             0.15484,            0.023149,             0.43617,             0.33503,              0.3253,              0.1775,            0.090978,             0.22804,            0.029906,           0.0044725,           0.0044725,           0.0044725
                  69,            0.093245,             0.15473,            0.023154,             0.42527,             0.33986,             0.32376,             0.17544,            0.090986,             0.22808,            0.029866,             0.00439,             0.00439,             0.00439
                  70,             0.09281,             0.15345,            0.023103,             0.43003,             0.33667,             0.32528,             0.17705,            0.090933,             0.22809,            0.029953,           0.0043075,           0.0043075,           0.0043075
                  71,            0.092797,             0.15434,            0.023068,             0.43043,             0.33594,             0.32679,             0.17775,            0.090939,             0.22775,            0.029884,            0.004225,            0.004225,            0.004225
                  72,            0.092808,             0.15286,            0.023122,             0.43609,              0.3401,             0.32789,              0.1788,            0.090878,             0.22754,            0.029908,           0.0041425,           0.0041425,           0.0041425
                  73,            0.092674,              0.1529,            0.023014,             0.44089,             0.33328,             0.32752,             0.17789,            0.090861,             0.22783,            0.029822,             0.00406,             0.00406,             0.00406
                  74,            0.092853,              0.1537,            0.022881,             0.43674,             0.33779,             0.32718,             0.17845,            0.090816,             0.22792,            0.029866,           0.0039775,           0.0039775,           0.0039775
                  75,            0.092534,             0.15486,            0.022886,             0.44031,             0.33546,             0.32708,             0.17808,            0.090819,             0.22762,            0.029885,            0.003895,            0.003895,            0.003895
                  76,            0.092469,             0.15155,            0.022696,             0.43657,             0.33562,             0.32502,             0.17708,            0.090848,             0.22766,            0.029939,           0.0038125,           0.0038125,           0.0038125
                  77,            0.092452,             0.15253,            0.022745,              0.4341,             0.33836,             0.32719,             0.17907,            0.090778,             0.22837,            0.029855,             0.00373,             0.00373,             0.00373
                  78,            0.092427,             0.15337,            0.022805,             0.44156,             0.34143,             0.33014,             0.18068,            0.090767,             0.22843,            0.029823,           0.0036475,           0.0036475,           0.0036475
                  79,            0.092485,             0.15278,            0.022618,             0.44764,             0.33602,             0.32997,             0.18058,            0.090761,             0.22819,            0.029859,            0.003565,            0.003565,            0.003565
                  80,            0.092279,             0.15141,            0.022633,             0.44376,             0.33862,              0.3295,              0.1803,            0.090736,             0.22815,            0.029763,           0.0034825,           0.0034825,           0.0034825
                  81,            0.092184,             0.15222,             0.02275,             0.44696,             0.33556,             0.33035,             0.18086,            0.090758,             0.22826,             0.02975,              0.0034,              0.0034,              0.0034
                  82,            0.092404,             0.15231,            0.022546,             0.44313,             0.33746,             0.33077,             0.18143,            0.090761,             0.22827,            0.029762,           0.0033175,           0.0033175,           0.0033175
                  83,            0.092273,             0.15197,            0.022723,             0.43864,             0.33822,             0.32918,             0.18028,            0.090756,             0.22823,            0.029793,            0.003235,            0.003235,            0.003235
                  84,            0.092127,             0.15204,            0.022654,             0.44619,             0.33336,             0.32901,             0.18037,            0.090749,             0.22845,             0.02978,           0.0031525,           0.0031525,           0.0031525
                  85,            0.092007,             0.15048,            0.022612,             0.45114,             0.33307,             0.32846,             0.18038,            0.090716,             0.22847,            0.029763,             0.00307,             0.00307,             0.00307
                  86,            0.092064,             0.15157,             0.02251,             0.45129,             0.33133,              0.3288,             0.17985,            0.090708,             0.22867,            0.029762,           0.0029875,           0.0029875,           0.0029875
                  87,             0.09221,             0.15294,            0.022532,             0.45371,             0.33481,             0.32806,             0.18057,            0.090683,             0.22871,            0.029766,            0.002905,            0.002905,            0.002905
                  88,            0.092024,             0.15231,            0.022338,             0.44462,             0.34126,             0.32911,             0.18026,            0.090697,             0.22883,             0.02976,           0.0028225,           0.0028225,           0.0028225
                  89,            0.092098,             0.15098,            0.022332,             0.44421,             0.34026,             0.32902,             0.17975,            0.090696,             0.22915,            0.029783,             0.00274,             0.00274,             0.00274
                  90,            0.091919,             0.15004,            0.022276,             0.44705,             0.33484,             0.32843,             0.17992,            0.090692,             0.22898,            0.029814,           0.0026575,           0.0026575,           0.0026575
                  91,            0.092396,             0.15143,            0.022338,             0.44625,             0.34024,             0.32992,             0.18063,             0.09067,             0.22878,            0.029814,            0.002575,            0.002575,            0.002575
                  92,            0.091626,             0.14987,            0.022135,             0.44704,             0.33909,             0.33043,             0.18088,            0.090646,             0.22864,            0.029855,           0.0024925,           0.0024925,           0.0024925
                  93,             0.09206,             0.15222,            0.022175,             0.44684,             0.33876,             0.33072,             0.18119,            0.090632,             0.22876,            0.029885,             0.00241,             0.00241,             0.00241
                  94,            0.091908,             0.15245,            0.022188,              0.4498,             0.33541,             0.32936,             0.18067,            0.090665,             0.22883,            0.029881,           0.0023275,           0.0023275,           0.0023275
                  95,            0.091544,             0.14983,            0.022042,             0.45447,             0.33583,             0.33025,              0.1814,            0.090678,             0.22912,            0.029888,            0.002245,            0.002245,            0.002245
                  96,            0.091474,             0.15057,             0.02187,             0.45422,             0.33645,             0.33062,             0.18186,            0.090701,             0.22923,            0.029871,           0.0021625,           0.0021625,           0.0021625
                  97,            0.091632,             0.15101,            0.022008,             0.46063,             0.33106,             0.33002,             0.18147,              0.0907,             0.22923,            0.029872,             0.00208,             0.00208,             0.00208
